standard_label	predict
A	A
A;B;E	E;A
A;E	
B	B
A	A
B	B
A;B	B
A;B	A
B	B;E
A	A
B	E;B
B	
A	A
A;B	B;A
E	E
A;B	B;A
B	B
B;E	B;E
B;E	
B	B
A;B	A;B
A	A
A	A
B	B
B;D;E	E;A;B;D
B	B
B	B;A
B	A
A	A
A	A
B	B
B	
B	B
A	A
A;B	A
A	A
A	
B	B
A	A
B	B
B	B
A;B	B;E
B	B;A
B	B;E
A;E	E;A
B	A
B;D	
B	B
A;B	
A	
B	F
B	A
B	B
B	B
B;E	E;D
D	D
D;E	D;E
B	B
A;D	A
B	A
E	E
A	A
A;D	A;B
B	B
B	B
B	B
B	
A	A
B	B
B	B
A;B;E	E
A	D
B	B
B	E
E	B
B	A;B
A;B	
B	B
B;E	E;B
B	B
B	B
A	B;A
B	D
D	B;D
B;D	B;D
A;B	B;A
D	A
F	B
B	B
B	B
B	B
B	
B	B
B	B;E
B	B
A;B;E	B;E
B	B
A	B
A	A
E	
B	
B;E	B;E
A	A
A;E	A
B	B
A;B	
B	B
B	B
D	D
A;B;D	A;B
A;B	A
E	E
B;D	B;D
B;D	A;B
B	B
A	A
A	A
B	E;B
E	
A;B	B;A;E
E;F	B
B	B
B	B
A	A
B	B
F	F
B	B;A
B	
F	B;F
A	A
A	A
B	B
B;E	E;B
B	A
B	B;D
F	F
B	B;E
B	
E	E
A;B	B
B	B
B	
B	B
B	
A	A
E	E
B	B;D
A;B	B;A
A;B	B;A
E	E
A	A
A;B	A;B
A;B	B;A
A;B	A
B	B
E	E
B	B;E;A
A	A
A;B	A;B;D
E	E
B	B
B	B
B	B
B	B
A	A
B	B
A;B	B;A
A;B	
E	
B	B
B	B
E	E
B	B;A
A	B
B	B
A	A
B	B
D	
A;E	A;B;E
B	B
A	A
A;B	E
B	B
B	B
E	E
B	E;B
B	B
B	B
E	E
B	E
D	D;E
A;B	B
B	B
B	B
A;B	A
B	B
D	A
B	B
B;E	B;E
B	B
B	
A;B	B;A
B	B
B	A
A	A
E	B
A	A;D
B	B;D
A;B	B;A
B	B
B	A;B
B	B
B	B
D	
B	B
B	
B	B
A;B	B
A	A
A;B	B
A	A
A;B	A
D	A
D	
B	B
B	B
A	A
B	B;A
F	B
B	B
A	
A	B
D	B
A	A
B	
B	B;A
A	A
B	B
B	B
B	B
A;B	B;A
A;B	A
A	A
A	D
A	
A;B	B
A;B	B
A;B	E;A
A	A
B	B
B	B;E
A;B	A;B
A;B	B;A
B	B
A;B;D;F	A;B
B	B
B	B;D
A	A
E	
B	B;A
B	E;B
A;D	B;A;D
B	E;B
A	A
A;B	B
A	A
A	A
A	A
A;B	A;B
A	A
A;B	A;B
A;B	A;B
A;B	B;A
D	B;A
A	A
A;B	B;A
A;B	A;B
B	
A;B;F	B;A
B;D	B;D
A	A;F
B	B
B	B
B;D	B;A
A;B	A
B;D	B;A
B	B
B;E	D
B	B
B	B;A
A	
B	B
B;D	D
A;B;D	B;E
A;B;D	A;D;B
B	B
F	B;F
B	B
B	A;B
A;B	A
B	A;B
B	B
B	B
B;D	D;B
A	A
B	B
A;B;D	B;D;E
B	B
B	B;A
B	B
B	B
B	B
B;D	A;B
F	B
B	B
A;B	D;A;B
B	B
A;B	B
B;D	B;D
B	B
A;B;D	A;B
B;D	B
B	B
A;B	A
B	B;A
B	B
A	A;B
A;B	B;A;D
A	A;B
A;B	A
A;B	A
B	B
B	
B	B
B	B
A;B;D	A;D;B
B	B;E
D	B;A
B	A;B
B	B
D	
B;F	B
B	B
A;B	B
F	F
B	A;B
B;F	F
B	B
B	B;E
B	B
D	D;A
B	B
B	B
B	B
B	B
B	B;A
B	B
B;D	D
B;D;E	B;E
B	F;A
B	B
A;B	B
A	A
D	D;A
D	A
E	
B	B
D	D
A	D;A
A	A
B	B
B	B
A	E
E	E
B	B
A	A
A	A
B	B
B	B
D	D
A;D	A
A;B	A
A	A
B	B
A	A
A	A
A	A
A	A;B
A;B	A;D
A	A;B
A	A
A;B	A;B
F	
D	A
D	B
E	D
A;B	
B	B;A
A	B;A;D
A	A
D	D
D	B;E
E	E;A
B	B;A
A;B	A;B
B	
B	B;A
A;B	B;D;A
D;E	B;A;D
E	B;E
B	B
A	A
A	A
A	A
D	B;A
B	A;B
B	B
A;B	B
B	B
A;B	B;A
B	B
A;B	A;B
A;B	A
D	B;A
B;D	B;D
A;B	B;D
A	A
B	
A;B	A
B;E	B
A;B	A;B
B	B;A
B	B
B	B
E	E
B	B;A
E	E
B	B
B;D;F	D
B	B;D
A;B	B;D
F	F;D
A	
A	B;E
A;D	A;D
A	E;B
A	A
A	A
B	B;A
B	B
B;D;E;F	A
B	D
A;B	A
B	B
B	B
B	B
D	A;D
A	A
B	B
B	B;A
F	B;F
B	B
A	A
B	B
B	B
B	B;D
B;D	B;A
B	B;D
D	A;D
B;D	B
A;F	F;A
B	B;D
B;F	B;F
B	B
B	A;B
B	B
B	
B	B
A	A;B
F	
A	B;A
F	B;A
F	B;F;A
A;F	F;A
B	B
B	B;A
F	A
B;D	D;B
B	B
A;B	B
B	B
B;D	B
D	D;A;B
A;B	A
B	
A;B	B
B	B;A
