standard_label	predict
A	A
A;B;E	A;E;B
A;E	B;A;E
E	B
A;B	B;A
B	B
A	A
B	B
E	E
A;B	B
A;B	B
A	D;B;A
B	B
A	A
A;B	A;B
B	B
E;F	F;B
A	A
E	B;E
A	A
B	B
A	A
B	B;A
B	B
B	A;B
B	B
A	A
B	B
A;B	B
B	B;A
E	E;A
A;B	B
B	B
B	A;B
A	A
B;D	D;A;B
A	A
B;E	E
B;E	B
B	B
B	B
A;B	A;B
B	B
B	B
A	A
A	A
B;E	E;B
A	A
B	B
B;D;E	E;A;B
B	B
B	B
B	B
F	F
B;E	B
E	B
A	A
B	A;D;B
A	D
E	E
A	A
A;B	B;A
A	A
B	B
A	A
B	B
B	B
A	A
A;B	A;B
A	A
B	B
A	A
B	B;A
B	B
A	A
A	A
B	B
B	B
B	B
B	B;A
B	B
B	B
A;F	F;A;B
A	A
A	A
B	B
A;E	B;A
A;B	A;B
A;B	B
B	B
A;B	A;B
B	B;A
B	B
A	B
A;E	E;A
B	A;B
B;D	B;D
B	
B	B
A	A
A;B	A
A	A
A	A
A;B	B
A	B;A
A	A
B	D
A;B	A
B	B;A
B	B;D
B	B
B	B
B	B
B;E	E;B
B;D	D;B
A;B	D;B
D	A;D
B	B;A
E	E;B
D	D
D;E	E;D
B	B
A;D	A
A	A
B	A
B	D
B	B
B	B
A	B;A
E	E;B
B	A;B
D;E	E;D
A;B	B;A
E	E;B
A	A;D
E	E
B	B
A;D	B;A
D;E	E
B	B
B	B
B	B
A;B	B
B	B
B	B
B	E
A	A
B	B
B	B;A
B	B
B	B
B	B
A;B;E	E;B;D
E	
A	D;A
B	B;A
B	B
B	B
B	B
B	B
A	B
B	B
E	B
D	D
B	A;B
B	D
F	B
A;B	D
B	A
B	B
B	B;A
B;E	E;B
B;E	B;E
A	A
B	B
A;B	B
B	B
A	A
B	B
B	B
D	B
B;D	B;D
B	B;A
B;F	B;F
A;B	B;A
B	B
E	
B	B
A;B	B
D	D;B
E	E;B
F	B
B	B
B	B
D	A
D	A;E
A	A
B	B
B	B
A;F	F;B
B	B
A	A
B	A;B
B	B
B	B
B	B
B;E	B
B	B
B	B
A;B;E	B;A;E
A	A
B	B
A;B	B;A
A	B
A	A
E	D
B	B
B	B
B	B
D	D
B;E	B;E
A	A
A;E	B;A
B	A;D
B	B
A	A
B	B;A
A;B	B
B	B
B	B
D	D
A;B;D	A;B
B	B
A;B	B;A
E	E;B
B;D	B
B;D	B;D
B	B
B	B
B	D;B
A	A
B	B
A;B	B;A
A	A
A	A
B	E
E	B;A
B	B
A;B	B;A
E;F	B
B	B
B	B
B	B
A	A;D
B	B
B	B
B	B
F	F
B	B;D
B	B
D	D
B	A
B	B
A	B;A
F	B
A	A
B	B
A	A
E	E;B
B	B
B;E	E;B
B	
B	B;A
B	B
F	F
B	B
B	B
E	E
A;B	B
A	A
B	B;D
B	E
B	B;D
B	B
B	F;B
B	B;A
B	D
A	A
B	B
E	E
B	B
A;B	B
A;B	B
A;B	B
E	E
A	A;B
B	B
B	B
A;B	D
E	B
A;E	E
B	B;A
A;B	A;B
A;B	A;B
A;B	B
A;B	A;B
A;B	B
B	B
B	B;A
B;E	B
E	E
B	B
B	B
A;B	B
B	B
A	A
B	B;A
D	D
A;B	B
A;B	B;A;D
E	
B	B
B	B
B	B
B	B
A;B	B
A	A
B	B
A;B	A;B
B	B
A	A
D	A
B	B
B	E
A;B	B;A
A;B	A
B;E	E;B
E	E
E	
B	B
B	B;A
B	B
E	E
B	B
A;B	B;A
A	A;B
A;D;E	E
D	E
B	
B;E	B;E
A	A
B	B
B	B
D	A;B
B	B
D	D;A
B	B
B	B
A	A
B	B
A	A
A;E	B;E;A
B	B
A	A
B	B
A;B	D
E	
B	B
B	B
B	B
E	E
A	B;A
A	A;B
B	B
B	B
B	B
B	B
E	E
B	E;B
D	D
B;E	B
B	B
B	B
A;B	B
B	B
B	B
B	B
A;B	A;B
B	B
D	B
B	B
B;E	B;E
B	B
B	B
B	B
B	B
B	B
E	E
A	A
A;B	B;A
A;B	B;A
B	B
B	A
B	A
D	D;A
A	A
A;B;D	B
B	B;A
A	A
B	B;A
B	D;B
B	B;A
A	A
E	B
A	B;A
B	B
E	E;B
B;F	F;B
A;B	B
A	B;A
B	B
B	A
B	B;E
B	B
D	D;A
B;D	D;A;B
B	B;A
B	B
B	B
B	B;A
B	B
B	B
B;F	B
A;F	A
B	B
A	A
A;B	A;B
A	A
A;B	B
A	A;B
A;B	A;B
D	D
B	B;A
D	A
B	A;B
B	A
B	B
A	B;A
A;B	A;B
A	D
B	B
B	B
F	B
B	B
A	B;A
D	D;B
A	D
D	B
A	D;B
A	A
B	B;A
B	A
A	A
B	B;A
B	B
B	A;B
A;B	B;A
A;B	A;B
B	B
A	A
A	D;A
A	A;D
E	A;E
A	A
A	B
A;B	B;A
A;B	B;A
A;B	E;A
A	A;D
B	B;A
B	B
A;B	B;E
A;B	B
B	B
D	B;D
A;B;D;F	A
B	
B	B
A;F	E;B
A	A
E	D
B	B
B	A;B
A;D	B;A
B	
A	A
B	D;B
A	A
A	A;D
B	B
B	B
A	B
B	B
A;B	A
A	A;D
D	A
A	B;A
A;B	B
B	B;A
A	A;B
A	
B	B
B	A;B
A	A;B
D	D
A	A
A;B	A
A	D;A
A;B	B
A;B	B;A
A	A;B
A;B	B;A
A;B	B;A
B;D	D
D	D;A;B
A	A;B
A;B	B
A;B	A;B
A;B	A
B	B;A
A;B;F	B;F;A
B;D	B
A	
B;D	B
E	E
B	B
B	B
B	B
B	B
B;D	B
A	A
B	B;D;A
A	A;D
A;B	A
B	B;A
B;D	B
A;B;E	B;A;D
B	B
B;D	B;D
B;F	B;A
B;E	D
A;B	B
B	A;B
B	B
B	B;D;A
A	A;E
B	B;F
B	A
A	A;B
B	B
B;D	D
B	B
A;B;D	E
B	B
A;B;D	B;D;A
A;B	B;A
B	B;A
F	B;F
B	B
A	B;A
B	B
A;B	B
A;B	A
B;D	B;A
A;B;D	B;A
B;D	B
B	B;A
B	B
B	B
B;D	B
B	B
A	A
A	A
B	B
A;B	B
B	D;B
D	D
A;B;D	D;B
B;D	B;D
B	B
B	B
A;B	B;A
B	B;A
A;B	B
B	B
B	B
B	B
B	B
B	B
B	B
A	B
B;D	B
F	B
B	B
A;B	A;D
A	A;E
B	B
B	B
B	B
B	B
A;B	B;A
B	B;A
B;D	B;D
B	B
A;B;D	D;B;A
B;D	B
B	B
B	A;B
A;B	B;A
B	B;A
D	B
B	B
B	B
A	A
A;B	B;A
A	A;B
A;B	B;E
A;B;D	B;A
A;B;D	B;A
B;D	A
A;B	B;D
D	D;A
A;B	A;D
A	A
B	B
B	B;D;A
D	B;A
B;D	D;B
B;D	B;D
B	B
A	A
B	B
B	B
B	B
B	B
A;B;D	D;A
B	B
A;B	A;B
D	B;A
A;B	A;E
B	B;A
B	D
B	B
B	B
D	D;B;A
D	D
A;B;E	D;B
B	B;D
B;F	B
B	A
A;B;E	B
A;B	B;D;A
A;B	D
B	B
F	F;B
B	B;A
B	B
B	B;A
B	B
B;F	F;B
B	B
B	B
A	D
B	B
B	B
B;D	B;D
B	B
A;B	B;A
B	B
B;D	B;D
D	D
B;D	B;D
B	B
B	B
B	B
B	B
B	D;B;A
B	B;D
B	B
B	B
B;D	D
B	B
B	B
B	B
B;D;E	E;D
B	F;B
B	B;D
A;B	B;A
B	B
A	A
A;B	B;A
B	B
D	D
B	B
B;F	
D	D;A
B	B;A
E	E
B	E
A	A
A;B	B
D	D
A	A
B	B;D
F	B
B	B
A	A
B	B
B	B
A	E
E	B;E
B	B
A	A
A	B;D
E	B
B	B
B	B;D
D	E
A	D
A	A;D
A;D	D
A;B	A
A	A
B	D
B	B
A;B	A
E	A;B
E	E
A	A
A	A
A	A
A	A
A	A
