standard_label	predict
A	A
A;B;E	A;B
A;E	A
B	B;A
E	B;A
D	B;A
A;B	A
B	B
B	B;A
B;E	B
A;E	A;E
E	B
B	B
A;B	A;B
A;E	A;E
A;D	A
A;B	A;B
A	A
A	A
B	B
B	B
B	B;A
D	A
B	A
A	A
A	A;B
A	A
B	A
F	B;A
A	A
A;B	A
B	B
B;E	B;E
E	B;A
A;B	B;A
D	A
B	B
A;B	A
B	B
A	A;B
B	B
B	B
A	A
A	A;B
B	B
B	B
B;D	B;A
A	A
B	B;A
B	A;B
B	B;A
B	B
B	A
B	B
B;D	B;A
B	B
A	A
B	B;A
B	A;B
B	B;A
A;B	A
A;F	A
A	A
B	A;B
A	A
A;B	B;A
B	B
A	A
E	A
B	B;A
A;B	A;B
A	A
B	B
B	B
A;B	A
E	E
A	A
A	A
A	A
B	B;A
A	A
B	B
A;B	A
A;B	B;A
B	A
A	A;B
B	B
A;B	A;B
A;B	A
A	A
A	B;A
B;E	A;B
A;B	B
A	A
A	A
A	A
D	A
B	A;B
B;E	B
B	B
A	A
A;B	A;B
B	B
B	B;A
A;B	B;A
A;B	A
B	B
A	A
A;B	A;B
A;B	A
B	B;A
B	B
B;E	B
B	B
B	B
A;B	A
B	A;B
B	B;A
B;D	B
B	A;B
A;B	A
B	B
B	A;B
B	B
A	B;A
B	B;A
B	B
B;F	B
B	B;A
B	B
B	B;A
A	A
B	B;A
A	A;B
E	
D	A
A;B	A
B	A;B
B	B
D	A
B	B
B	B
A;B	B;A
B	B
B	B
D	
A	A
B	B
B	B
D;E	A;E
A	A
B	B
A;B	B;A
B;E	B
B	B
B	B;D
E	A;B
A	B
B	B
E	A
B	B
B;D	B
E	E
B	B;A
D;F	A
B	A
A;B	B;A
B	A;B
B	A
A;D	D
E	
B	
B	B;A
B	B;A
E	E
B	B
B;E	B
E	
B	B;A
A	A
B	B
B	B
A;B;D	B;A
B	B;A
A;B	A
A	A;B
B	B
A;B	A
B	B
B	A
B	B
B;D	B;A
E	
B	A
B	B
D	B
B	B
B;D	B;A
B	B
A	A
A;B	A;B
A	A
B	A;B
A;F	B
A;B	A
B	B
B;D	B;A
B	B
B	B
B	A;B
B	B
B	B;A
B	B
B;F	B
B;D	B
B	B;D
D	D;A;B
B	A;B
A	A
B	B;A
B;E	B
A	B
B;D	B;D
B	B
D	A
E	
B	B
B	A
A	A
B	B
D;E	E;A
A;B	A;B
A	A
B	B
A;B;D	A
B	B
D;E	A
A;B	B;A
B	B
A;B;D;F	B;A
B	B
B	B
D;E	E;B
B	B
A	
A;B	B;A
B	B;A
B	B
B	B
B	B
B	A;B
A;B	B;A
A	B;A
B	B
A;B	A;B
B	B;A
B	B
B	B
A;E	A;B
D	
B	B
B	
B	B
E	E
E	B
B	B
B;E	B;E
B	B
A	A
B	B
B	B
B;E	E;B
B	B
B	
B	B
B	
B	B
B;D	B;A;D
B;D	B
B	B;A
B	B;A
B	B
B	B
B	B;A
B	B
B	B
B	B
B	B
B	B
B	
A	A
D	A;B
B;E	B
B	B;A
A;B	B
B	B
A	A
B	A;B
B	B
B	B
B	B
B	B
B	B;A
A	A
B;E	B
A;B	A;B
A;B	A
B	B
A;B	A;B
B;E	
A;B	A;B
B	B
A;B	A;B
E	A
B	B
B	B
B	B
B	B
A;B;D;E	A;B
D	A;B
D	
A;B	A;B
A;B	A;B
E	E
B	B
B	
B	A;B
B	B
E	B
A	B
B	A
A	A
B	B
B	B
A;B	B;A
A;B	A;B
A;B	A
B;E	A;B
A	A
E	A;E
E	B
B	B
B	B
E	
B;D	B;A
A	B
A;B	B;A
A	B
B	B
D	B
A	A
D	
F	A
E	E;A
B	B
E	
B	A
B	B;A
B	B
B	
E	B
E	
A	A
A	A
E	E;A
E	
E	
A	A
B	B
E	E;A
B	B;A
A	A
E	
A;B	B;A
E	E;B
E	B
B	B;A
A;B	A
B	B
B	B
A	D
B	B
B	B
B	B
D	
B	B;A
B	B
D	B;A
A	A
B	B;A
A;B	B
A	B;A
B	B
A	A
A;B	A;B
B	B
A	A
B	B
A;B;D	A;B
B	B;A
B	B;A
B;E	E
B;D	B;A
B	A
D	A
B	A;B
B;D;E	B
B	A;B
A	A
B	B;A
E	A
D	
A;B	B
B	A
B	A
A;D	A;B
B	B
D	A;B
A;B	A;B
B;D	B;A
A	B;A
B	B;A
A	A
B	B;A
A;B	B;A
G	B
B	B
A;B	A
B	B
B	B;A
A;B	A;B
